SNDPOINT   55.35  199.52   92.74    0.14    0.29   -0.02    0.25   -0.18   -0.46   -0.05   -0.01    0.59   -0.20    0.05   -0.05 
SOURDOGH   62.66  214.52  747.96    0.15    0.26    0.01    0.14   -0.33   -0.45   -0.07   -0.01    0.51   -0.35    0.03   -0.06 
SUWON      37.28  127.05   81.46   -0.54    0.48   -0.54   -0.36    0.28   -0.19   -0.04   -0.06    0.38    0.49    0.10   -0.01 
SVETLOE    60.53   29.78   86.01   -0.11   -0.21   -0.01    0.20    0.30    0.43    0.05    0.05   -0.53    0.31   -0.06    0.06 
SYOWA     -69.01   39.59   50.93   -0.10   -0.07   -0.01   -0.00   -0.40   -0.45   -0.10   -0.02   -0.48    0.39   -0.03    0.06 
TATEYA00   34.94  139.85  126.15   -0.38    0.53   -0.71   -0.10    0.22   -0.24   -0.06   -0.04    0.47    0.41    0.09   -0.03 
TATEYAMA   34.94  139.85  126.17   -0.38    0.53   -0.71   -0.10    0.22   -0.24   -0.06   -0.04    0.47    0.41    0.09   -0.03 
TIDBIN64  -35.40  148.98  688.87   -0.40    0.58   -0.79    0.20   -0.12    0.23    0.02    0.03    0.51    0.34    0.07   -0.05 
TIGOCONC  -36.84  286.97  170.93    0.51   -0.13   -0.07   -0.71    0.31   -0.08    0.02    0.02   -0.26   -0.53   -0.01   -0.06 
TIGOWTZL   49.14   12.88  658.89   -0.06   -0.39   -0.12    0.40    0.14    0.40    0.01    0.07   -0.61    0.15   -0.09    0.03 
TITIJIMA   27.10  142.19   98.99   -0.38    0.59   -0.91   -0.06    0.17   -0.18   -0.07   -0.03    0.49    0.39    0.08   -0.05 
TOMAKO11   42.67  141.60   89.86   -0.30    0.46   -0.54   -0.05    0.24   -0.30   -0.05   -0.04    0.49    0.39    0.08   -0.02 
TOULOUSE   43.56    1.48  192.15    0.01   -0.45   -0.32    0.44    0.05    0.36   -0.02    0.07   -0.63    0.03   -0.09    0.01 
TROMSONO   69.66   18.94  132.92    0.00   -0.04   -0.12    0.10    0.23    0.53    0.04    0.05   -0.59    0.20   -0.06    0.04 
TRYSILNO   61.42   12.38  723.98   -0.02   -0.17   -0.13    0.20    0.15    0.50    0.02    0.06   -0.61    0.14   -0.08    0.04 
TSUKU3     36.11  140.09   69.61   -0.37    0.52   -0.68   -0.09    0.22   -0.24   -0.06   -0.04    0.48    0.41    0.09   -0.03 
TSUKUB32   36.10  140.09   84.71   -0.37    0.52   -0.68   -0.09    0.22   -0.24   -0.06   -0.04    0.48    0.41    0.09   -0.03 
TSUKUBA    36.11  140.09   69.17   -0.37    0.52   -0.68   -0.09    0.22   -0.24   -0.06   -0.04    0.48    0.41    0.09   -0.03 
URUMQI     43.47   87.18 2033.20   -0.55   -0.10    0.20   -0.39    0.39    0.00    0.05   -0.05    0.02    0.58    0.06    0.08 
USUDA64    36.13  138.36 1532.84   -0.38    0.51   -0.67   -0.13    0.23   -0.23   -0.06   -0.04    0.46    0.42    0.09   -0.03 
VERAMZSW   39.13  141.13  116.55   -0.33    0.48   -0.62   -0.07    0.23   -0.27   -0.06   -0.04    0.48    0.40    0.09   -0.03 
VERNAL     40.33  250.43 1590.54    0.57    0.37    0.52   -0.27   -0.33   -0.11   -0.03   -0.01    0.15   -0.55    0.00   -0.03 
VICTORIA   48.39  236.51   25.23    0.33    0.38    0.36    0.01   -0.38   -0.23   -0.04   -0.00    0.30   -0.51    0.01   -0.04 
VLA-N8     34.08  252.38 2114.48    0.75    0.42    0.67   -0.39   -0.28   -0.09   -0.02   -0.02    0.12   -0.55    0.01   -0.03 
VNDNBERG   34.56  239.38  -12.27    0.48    0.51    0.75   -0.07   -0.28   -0.16   -0.01   -0.00    0.26   -0.52    0.01   -0.02 
WESTFORD   42.61  288.51   86.77    0.58   -0.04   -0.14   -0.55   -0.35    0.12   -0.06   -0.01   -0.20   -0.57   -0.02   -0.04 
WETTZELL   49.15   12.88  669.12   -0.06   -0.39   -0.12    0.40    0.14    0.40    0.01    0.07   -0.61    0.15   -0.09    0.03 
WHTHORSE   60.71  224.92  709.34    0.20    0.29    0.08    0.11   -0.40   -0.37   -0.07   -0.01    0.42   -0.44    0.02   -0.06 
YAKATAGA   60.08  217.51   21.22    0.15    0.25    0.05    0.15   -0.35   -0.42   -0.07   -0.01    0.48   -0.38    0.03   -0.06 
YEBES      40.52  356.91  979.86    0.07   -0.52   -0.43    0.44    0.02    0.32   -0.03    0.07   -0.63   -0.01   -0.10    0.00 
YELLOWKN   62.48  245.53  176.81    0.24    0.23    0.08   -0.03   -0.50   -0.21   -0.07    0.00    0.23   -0.55   -0.00   -0.06 
YLOW7296   62.48  245.52  178.79    0.24    0.23    0.08   -0.03   -0.50   -0.21   -0.07    0.00    0.23   -0.55   -0.00   -0.06 
YUMA       32.94  245.80  238.61    0.67    0.56    0.76   -0.24   -0.27   -0.13   -0.02   -0.01    0.19   -0.54    0.01   -0.02 
ZELENCHK   43.79   41.57 1175.22   -0.29   -0.44    0.30    0.32    0.30    0.27    0.06    0.05   -0.43    0.40   -0.06    0.08 
