TIGOCONC  -36.84  286.97  170.93    0.33   -0.08   -0.11   -0.81    0.19   -0.04   -0.01   -0.11   -0.16   -0.31   -0.22   -0.00 
TIGOWTZL   49.14   12.88  658.89   -0.02   -0.25   -0.10    0.50    0.08    0.28   -0.02   -0.09   -0.38    0.07    0.14    0.00 
TITIJIMA   27.10  142.19   98.99   -0.24    0.43   -0.90   -0.08    0.09   -0.10    0.05   -0.01    0.29    0.23   -0.01    0.21 
TOMAKO11   42.67  141.60   89.86   -0.19    0.34   -0.57   -0.08    0.13   -0.18    0.08    0.00    0.30    0.25    0.01    0.19 
TOULOUSE   43.56    1.48  192.15    0.04   -0.29   -0.33    0.56    0.02    0.25    0.01   -0.08   -0.40   -0.01    0.14    0.07 
TROMSONO   69.66   18.94  132.92    0.03    0.04   -0.10    0.13    0.14    0.37   -0.01   -0.06   -0.38    0.11    0.07   -0.00 
TRYSILNO   61.42   12.38  723.98    0.01   -0.06   -0.12    0.26    0.09    0.35   -0.00   -0.09   -0.39    0.07    0.10    0.01 
TSUKU3     36.11  140.09   69.61   -0.24    0.38   -0.71   -0.14    0.11   -0.15    0.07    0.01    0.29    0.25   -0.01    0.20 
TSUKUB32   36.10  140.09   84.71   -0.24    0.38   -0.71   -0.14    0.11   -0.15    0.07    0.01    0.29    0.25   -0.01    0.20 
TSUKUBA    36.11  140.09   69.17   -0.24    0.38   -0.71   -0.14    0.11   -0.15    0.07    0.01    0.29    0.25   -0.01    0.20 
URUMQI     43.47   87.18 2033.20   -0.36   -0.11    0.28   -0.48    0.22   -0.00   -0.05    0.09    0.03    0.39   -0.13   -0.05 
USUDA64    36.13  138.36 1532.84   -0.26    0.38   -0.71   -0.19    0.12   -0.14    0.07    0.01    0.28    0.26   -0.02    0.20 
VERAMZSW   39.13  141.13  116.55   -0.21    0.35   -0.64   -0.10    0.12   -0.16    0.08    0.00    0.29    0.25    0.00    0.19 
VERNAL     40.33  250.43 1590.54    0.39    0.32    0.59   -0.33   -0.19   -0.04   -0.14    0.06    0.10   -0.31   -0.11   -0.20 
VICTORIA   48.39  236.51   25.23    0.19    0.30    0.42   -0.00   -0.23   -0.11   -0.17    0.01    0.18   -0.31   -0.02   -0.21 
VLA-N8     34.08  252.38 2114.48    0.56    0.38    0.74   -0.46   -0.16   -0.03   -0.13    0.05    0.08   -0.31   -0.12   -0.21 
VNDNBERG   34.56  239.38  -12.27    0.30    0.40    0.84   -0.09   -0.16   -0.07   -0.14    0.01    0.16   -0.30   -0.03   -0.24 
WESTFORD   42.61  288.51   86.77    0.41    0.05   -0.18   -0.63   -0.21    0.07   -0.01    0.13   -0.12   -0.36   -0.21    0.04 
WETTZELL   49.15   12.88  669.12   -0.02   -0.25   -0.10    0.50    0.08    0.28   -0.02   -0.09   -0.38    0.07    0.14    0.00 
WHTHORSE   60.71  224.92  709.34    0.10    0.22    0.10    0.11   -0.25   -0.21   -0.16   -0.04    0.26   -0.27    0.04   -0.16 
YAKATAGA   60.08  217.51   21.22    0.10    0.17    0.07    0.16   -0.22   -0.24   -0.15   -0.07    0.30   -0.24    0.08   -0.15 
YEBES      40.52  356.91  979.86    0.05   -0.33   -0.46    0.57    0.00    0.21    0.03   -0.07   -0.40   -0.04    0.14    0.10 
YELLOWKN   62.48  245.53  176.81    0.14    0.20    0.10   -0.04   -0.31   -0.12   -0.16    0.05    0.14   -0.33   -0.06   -0.15 
YLOW7296   62.48  245.52  178.79    0.14    0.20    0.10   -0.04   -0.31   -0.12   -0.16    0.05    0.14   -0.33   -0.06   -0.15 
YUMA       32.94  245.80  238.61    0.47    0.46    0.85   -0.29   -0.15   -0.05   -0.13    0.03    0.11   -0.30   -0.08   -0.23 
ZELENCHK   43.79   41.57 1175.22   -0.18   -0.34    0.41    0.38    0.18    0.19   -0.10   -0.03   -0.26    0.27    0.06   -0.13 
