PRESIDIO    37.81  -122.46   -29.46     0.42     0.47     0.83      0.10    -0.03    -0.04      0.17    -0.28     0.01     -0.28     0.01     0.02     -0.22    -0.08    -0.14      0.01     0.00     0.01 
PT_REYES    38.10  -122.94    -2.35     0.38     0.41     0.76      0.10    -0.03    -0.03      0.17    -0.29     0.00     -0.28     0.01     0.02     -0.23    -0.11    -0.17      0.00     0.00     0.01 
PVERDES     33.74  -118.40    69.31     0.55     0.55     1.03     -0.03    -0.03    -0.04      0.16    -0.26     0.00     -0.27     0.01     0.01     -0.20    -0.06    -0.12      0.03     0.00     0.01 
QUINCY      39.97  -120.94  1105.74     0.42     0.38     0.70      0.04    -0.03    -0.03      0.16    -0.29    -0.02     -0.27     0.01     0.02     -0.24    -0.11    -0.17      0.01     0.00     0.01 
RICHMOND    25.61   -80.38   -13.63     0.67     0.23     0.23     -1.38    -0.01     0.04     -0.05    -0.36    -0.27     -0.16     0.00     0.02     -0.18    -0.02    -0.05      0.12     0.01     0.00 
ROBLED32    40.43    -4.25   840.56    -0.02    -0.40    -0.54      0.59     0.03     0.01     -0.47    -0.10     0.14      0.11     0.01     0.01     -0.01     0.23     0.05     -0.04    -0.00    -0.01 
SAGARA      34.68   138.18   151.42    -0.27     0.40    -0.82     -0.18    -0.06    -0.06      0.33     0.31    -0.01      0.24    -0.01    -0.03      0.12    -0.15     0.09     -0.01    -0.00     0.01 
SANPAULA    34.39  -119.00   185.18     0.49     0.45     0.89     -0.02    -0.03    -0.03      0.15    -0.29    -0.04     -0.28     0.01     0.02     -0.22    -0.09    -0.16      0.02     0.00     0.01 
SANTIA12   -33.15   -70.67   730.30     0.56    -0.09    -0.15     -0.94    -0.01    -0.00     -0.22    -0.33    -0.25      0.02     0.01     0.02      0.16    -0.01     0.01     -0.12    -0.00     0.00 
SC-VLBA     17.76   -64.58   -15.01     0.64     0.00    -0.47     -1.37     0.01     0.03     -0.19    -0.40    -0.25      0.07     0.01     0.02     -0.04     0.01    -0.02      0.02     0.01     0.00 
SEATTLE1    47.69  -122.25   -16.43     0.33     0.33     0.49      0.06    -0.02    -0.02      0.19    -0.29    -0.00     -0.25     0.01     0.02     -0.28    -0.15    -0.19      0.00     0.01     0.01 
SESHAN25    31.10   121.20    29.44    -0.52     0.35    -0.58     -0.78    -0.01    -0.07      0.22     0.39    -0.13      0.19    -0.01    -0.02      0.14    -0.09     0.06      0.04    -0.01     0.00 
SEST       -29.26   -70.73  2415.76     0.65    -0.10    -0.16     -1.04    -0.00    -0.00     -0.20    -0.33    -0.25      0.02     0.01     0.02      0.14     0.00     0.00     -0.11    -0.00     0.00 
SHANGHAI    31.19   121.43    18.17    -0.52     0.35    -0.59     -0.78    -0.01    -0.07      0.22     0.39    -0.13      0.19    -0.01    -0.02      0.14    -0.09     0.06      0.04    -0.01     0.00 
SINTOTU     43.53   141.84   118.55    -0.18     0.35    -0.61     -0.01    -0.04    -0.05      0.35     0.31     0.01      0.23    -0.01    -0.02      0.13    -0.19     0.11     -0.02    -0.00     0.01 
SINTOTU3    43.53   141.84   119.31    -0.18     0.35    -0.61     -0.01    -0.04    -0.05      0.35     0.31     0.01      0.23    -0.01    -0.02      0.13    -0.19     0.11     -0.02    -0.00     0.01 
SNDPOINT    55.35  -160.48    92.80     0.07     0.19     0.02      0.43    -0.00    -0.02      0.42    -0.08     0.20     -0.08    -0.00     0.01     -0.17    -0.30    -0.08     -0.17     0.01     0.02 
SOURDOGH    62.66  -145.48   747.96     0.64     0.47    -0.00      0.53     0.01    -0.07      0.48    -0.11     0.11     -0.08     0.01    -0.00     -0.17    -0.26    -0.16     -0.06     0.01     0.01 
SUWON       37.28   127.05    81.46    -0.42     0.38    -0.60     -0.50    -0.02    -0.07      0.26     0.36    -0.09      0.20    -0.00    -0.02      0.16    -0.12     0.09      0.03    -0.00     0.00 
SVETLOE     60.53    29.78    86.02    -0.12    -0.17    -0.00      0.20    -0.01    -0.01     -0.38     0.16     0.10     -0.04    -0.00    -0.01      0.21     0.35    -0.05     -0.03    -0.01    -0.02 
SYOWA      -69.01    39.59    50.98    -0.05    -0.04    -0.03      0.11    -0.03    -0.01     -0.33     0.25     0.02     -0.01     0.00    -0.01     -0.29    -0.35     0.04      0.00     0.01     0.02 
TATEYAMA    34.94   139.85   126.15    -0.25     0.39    -0.82     -0.12    -0.06    -0.05      0.34     0.31    -0.01      0.24    -0.01    -0.03      0.12    -0.15     0.09     -0.02    -0.00     0.01 
TIDBIN64   -35.40   148.98   688.78    -0.24     0.51    -1.04      0.26    -0.02     0.01      0.34     0.24     0.06      0.24    -0.01    -0.02     -0.08     0.12    -0.07      0.03     0.00    -0.01 
TIGOCONC   -36.84   -73.03   170.97     0.46    -0.04    -0.07     -0.85    -0.01    -0.00     -0.19    -0.34    -0.24     -0.01     0.00     0.02      0.19    -0.02     0.02     -0.13    -0.00     0.00 
